study,Journal,Start Date,End Date,Country,Income,Region,WHO_Region,Study Design,Setting,Sample,Is this a special population?,Age,Age (measure),Female patients (n),Disease Severity,Do all patients included have laboratory-confirmed SARS-CoV-2 infection? (If not - study should be excluded),"Does the study meet any of the listed exclusion criteria (see covidence/protocol(?  IF YES to any, please do not proceed and send Brad Covidence #",ARDS,Mechanical Ventilation,ICU ,Smokers,COPD,CVD,Diabetes,Dialysis,Malignancy,Immunocompromised,"Patients identified to have growth of significant bacteria in the respective appropriate culture specimens (e.g., urine, tracheal aspirate, and blood from the central line, etc.) collected during admission were included.",Testing,Provide detail about testing methods - can cut and paste from text,clinical_def,body_site_specific,body_site,patients_eval,coinfection,secondary_infection,bacterial_infection_unspecified,Resistant co-infection,Resistant secondary infection,resistant unknown bacterial infection,Bacteria names specified?,Susceptibility_reported,AMR_Prev_Evaluable?,Resistant_pts_total,NonR_pts_total,UnknownR_pts_total,Pts_Denom,Resistant_organisms,Non-Resistant organisms,Unknown organism resistance,Orgs_Denom,blood_organisms_total,blood_R_organisms_total,resp_organisms_total,resp_R_organisms_total,urine_organisms_total,urine_R_organisms_total,skin_organisms_total,skin_R_organisms_total,other_site_organism_total,other_R_organisms_total,unknown_site_total,unknown_site_R_total,Mycoplasma,Chlamydia,Legionella,SA,blood_SA,resp_SA,urine_SA,skin_SA,other_SA,SA_R,MRSA,VRSA,S_pneumo,blood_Strepp,resp_Strepp,urine_Strepp,other_Strepp,S_pneumo_R,S_pneumo_pen_R,S_pneumo_FQ_R,Enterococcus,blood_Enterococcus,resp_Enterococcus,urine_Enterococcus,skin_Enterococcus,other_enterococcus,Enterococcus_R,Haemophilus_isolates,blood_Hflu,resp_Hflu,urine_Hflu,skin_Hflu,Hflu_R_isolates (AmpR Hflu),Psa,blood_Psa,resp_Psa,urine_Psa,skin_Psa,other_Psa,Psa_R,Psa_ESBL,Psa_CR,Psa_ColR,Psa_MDR,Kleb,blood_Kleb,resp_Kleb,urine_Kleb,skin_Kleb,other_kleb,Kleb_R,Kleb_ESBL,Kleb_CR,Kleb_ColR,Kleb_MDR,Ecoli,blood_EColi,resp_EColi,urine_EColi,skin_EColi,other_EColi,EColi_R,Ecoli_ESBL,Ecoli_CR,Ecoli_ColR,Ecoli_MDR,Acineto,blood_Acineto,resp_Acineto,urine_Acineto,skin_Acineto,other_Acineto,Acineto_R,Acineto_CR,Acineto_ColR,Acineto_MDR,Ebacter,blood_Ebacter,resp_Ebacter,urine_Ebacter,skin_Ebacter,Ebacter_R_isolates,Ebacter_ESBL,Ebacter_CR,Ebacter_ColR,Ebacter_MDR,CNST,CNST_blood,CNST_resp,CNST_other,Citrobacter,blood_Citrobacter,resp_Citrobacter,urine_Citrobacter,skin_Citrobacter,other_Citro,C_bacter_R_,MDR Citrobacter,Moraxella,blood_Morax,resp_Morax,urine_Morax,skin_Morax,Steno,blood_Steno,resp_Steno,urine_Steno,skin_Steno,other_Steno,Steno_MDR,Serratia,blood_Serratia,resp_Serratia,urine_Serratia,skin_Serratia,Serratia_R,Serratia_ESBL,Serratia_CR,Serratia_ColR,Strep not-Pneumo,Proteus,blood_Proteus,resp_Proteus,urine_Proteus,skin_Proteus,other_proteus,Proteus_R,Proteus_ESBL,Proteus_CR,Proteus_ColR,Proteus_MDR,Other GN,Other GP,Other not reported,C difficile  - Don't count towrds other columns (pts),Other bacteria not previously reported,corticosteroids,il_6_inhibitors,abx,Critical Appraisal 1: Was the study’s target population a close representation of the national population in relation to relevant variables? ,Critical Appraisal 2: Was the sampling frame a true or close representation of the target population?,"Critical Appraisal 3 Was some form of random selection used to select the sample, OR, was a census undertaken?",Critical Appraisal 4: Was the likelihood of nonresponse bias minimal?,Critical Appraisal 5: Were data collected directly from the subjects (as opposed to a proxy)?,Critical Appraisal 6: Was an acceptable case definition used in the study?,Critical Appraisal 7: Was the study instrument that measured the parameter of interest shown to have validity and reliability?,Critical Appraisal 8: Was the same mode of data collection used for all subjects?,Critical Appraisal 9: Was the length of the shortest prevalence period for the parameter of interest appropriate?,Critical Appraisal 10: Were the numerator(s) and denominator(s) for the parameter of interest appropriate?,bias,Quality_score,"Did this study evaluate bacterial co-infection or secondary infection outcomes compared to non-coinfection or non-secondary infection clinical outcomes? (i.e, mortality or LOS)",Mortality difference,LOS difference,Adjusted? (at minimum age),Mortality OR/HR Co-infection,LCL (Mortality OR/HR Co-infection),UCL (Mortality OR/HR Co-infection),Mortality OR/HR Secondary Infection,LCL (Mortality OR/HR Secondary Infection),UCL (Mortality OR/HR Secondary Infection),Mortality OR/HR unspecified/both types Infection,LCL (Mortality OR/HR unspecified/both types Infection),UCL (Mortality OR/HR unspecified/both types Infection),Infection_Type,Infection_Prevalence,I_Prev_Sensi_exclude,AMR_Prevalence_Overall,AMR_Prevalence_Select
"Bhargava, 2021",Am J Infect Control,03/01/2020,06/01/2020,United States,HIC,North America,North America,Retrospective Cohort,Hospital,290,,,,,All combined,Yes,No,,,,,,,,,,,,Culture,"patients with bloodstream infection (BSI) on admission as a known pathogen in 1 or more BCs or the same commensal organism in 2 or more BCs drawn within 48 hours from time of admission. A nosocomial BSI was diagnosed if 1 or more cultures of blood drawn at least 48 hours after admission yielded a pathogenic organism.   Multidrug-resistant organisms (MDROs) were defined as resistant to one or more classes of antimicrobial agents including methicillin resistant Staphylococcus aureus (MRSA), Vancomycin resistant Enterococci (VRE) and certain gram negatives producing extended spectrum beta-lactamases (ESBLs) or Carbapenemase resistant Enterobacteriaceae (CRE)4",Yes,blood,blood,290,22,15,,12,4,,Yes,Yes,Yes,16,1,20,37,16,5,23,44,44,"16 total = 11 MRSA, 2 ESBL E Coli, 2 VRE, 1 MDR A baumanii",,,,,,,,,,,,,,16,16,,,,,11,11,,2,2,,,,,,,4,4,,,,,2,,,,,,,3,3,,,,,,,,,,3,3,,,,,,,,,,5,5,,,,,2,2,,,,1,1,,,,,,,,1,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,,,,,,,,2,,,"Gemella sanguinis=1, Parvimonas micro=1",,,,No or unclear,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,moderate,7,No,-,-,-,,,,,,,,,,Both,Y,,Y,Y
"Bhatt P, 2020",Clinical Infectious Diseases,03/01/2020,06/03/2020,United States,HIC,North America,North America,Case-control,Hospital,375,,64,Median,146,All combined,Yes,No,,42,179,,60,48,131,,41,34,"n=20 immunosuppressant use, n=6 HIV, , solid organ transplant=8",Culture,blood culture,Yes,blood,blood,375,,128,,,,,Yes,Yes,Yes,,,128,128,17,12,155,184,184,"2 MDR Enterobacter, 2 VRE, 1 MDR E Coli, 2 MDR Kleb, 9 MRSA, 1 MDR Proteus",,,,,,,,,,,,,,21,21,,,,,9,9,,2,2,,,,,,,19,19,,,,,2,,,,,,,6,6,,,,,,,,,,9,9,,,,,2,,,,2,14,14,,,,,1,,,,1,6,6,,,,,,,,,5,5,,,,2,,,,2,57,57,,,1,1,,,,,,,,,,,,2,2,,,,,,3,3,,,,,,,,10,5,5,,,,,1,,,,1,6,18,,,"Granulicatella spp=2, Clostridium spp=4, Eggerthella=1, Corynebacterium=6, Gemella=1, Leuconostic=1, Neisseria sicca=1, Propionibacterium spp=1, Bacteroides=1, Fusobacterium=1, Prevotella=1, Providencia=2, Baccilus antharcis=1, Arthrobacter spp=1",85,88,301,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,low,9,Yes,"More patients with sBSIs died in-hospital compared with those without (53.1% vs 32.8%, P = .0001). As of 3 June 2020, more patients without sBSIs were alive and discharged from the hospital (98.8% vs 63.3%, P < .0001), whereas those with sBSIs were still hospitalized (36.7% vs 1.2%, P < .0001). All findings, including mortality, remained consistent in multivariable logistic regression models adjusting for age, sex, and race as well as a propensity scoreâ€“matched analysis","Patients with sBSIs were also more likely to have longer LOS (18.5 vs 9 days, p<0.001)","Yes, mortality, but didn't provide OR or 95%CI, just p value",,,,,,,,,,Secondary,Y,,Y,Y
"Blonz, 2021",Crit Care,03/01/2020,05/18/2020,France,HIC,Europe,Europe,Retrospective Cohort,Hospital ICU,188,ICU mechanically ventilated >48 hours,63.9,Mean,41,Critical,Yes,No,,188,188,10,6,13,50,,16,14,"HIV=4,immunosuppressive therapy=7, long-term steroid=3",Culture,"Positive culture from BAL, ET, pleural fluid",Yes,resp,resp,188,21,92,,,,3,Yes,No,No,,,,,34,,190,224,15,,224,34,,,,,7,,,,,,,34,,28,,,6 unknown coinfection,3,3,,5,,2,,3 unknown coinfection,,,,12,,12,,,,,8,,5,,,,33,,33,,,,,,,,,29,,29,,,,,,,,,26,,26,,,,,,,,,4,,4,,,,,,,,11,,11,,,,,,,,,,,,10,,10,,,,,,,,,,,8,,8,,,,,12,,12,,,,,,,7,6,,6,,,,,,,,,19,3,,,"Enterobacteria unknown (co-infection)=5, Gram neg unknown(co-infection)=3, Hafnia (VAP)=8, Obligate anaerobe Gram negative unknown (VAP)=1, non-Enterobacteria GN (VAP)=2, Corynebacterium (VAP)=1, Gram positive (coinfection)=1",21,1,169,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,low,10,Yes,Deceased at study end = 26 (27% of pts without VAP) vs 28 (30.4% those with at least 1 episode of VAP),No,No,,,,,,,,,,Both,Y,,N,N
"Bolker, 2021",Diagn Microbiol Infect Dis,02/01/2020,09/30/2020,United States,HIC,North America,North America,Retrospective Cohort,Hospital,228,,60.5,Weighted average of median,100,All combined,Yes,No,,72,92,,28,46,91,,,40,immunocompromised=40,Culture + Urine Ag,Positive bacterial respiratory culture or a positive bacterial antigen test ,Yes,resp,resp,228,29,28,,,,,Yes,No,No,,,57,57,,,70,70,,,70,,,,,,,,,,,,,28,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,12,,,"Enterobacterales=18, non-fermenting GNB=12, GP unknown=12",96,13,187,Yes,No or unclear,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,low,8,Yes,9 (33% with bacterial infection) vs 17 (10% without bacterial infection). P <0.0001,19 [14-26] with bacterial infection vs 19 [14-26] without.  Authors also looked at ICU LOS. P = 0.08,No,,,,,,,,,,Both,Y,,N,N
"Bonazzetti C, 2021",Critical Care Medicine,02/21/2020,04/30/2020,Italy,HIC,Europe,Europe,Retrospective Cohort,Hospital ICU,89,,61.5,Median,20,Critical,Yes,No,,83,89,,,,,,,,,Culture,blood culture,Yes,blood,blood,89,,60,,,,,Yes,Yes,Yes,,,60,60,32,2,80,114,114,"5 VRE, 5 MRSA, 6 ESBL (unspecified), 10 CRE (unspecified), 4 ESBL Enterobacter, 1 MDR Pseudomonas, 1 MDR Steno",,,,,,,,,,,,,,7,7,,,,,5,5,,,,,,,,,,53,53,,,,,5,,,,,,,2,2,,,,,1,,,,1,17,17,,,,,,,,,,1,1,,,,,,,,,,1,1,,,,,,,,,6,6,,,,4,4,,,,24,24,,,,,,,,,,,,,,,,1,1,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,Gamella sanguinis=1,,,,No or unclear,Yes,Yes,No or unclear,Yes,Yes,Yes,No or unclear,Yes,No or unclear,moderate,6,No,-,-,-,,,,,,,,,,Secondary,Y,,Y,Y
"Buetti, 2021",Intensive Care Med,06/29/2020,10/03/2020,France,HIC,Europe,Europe,Retrospective Cohort,Hospital ICU,235,ICU mechanically ventilated,59.8,Mean,47,Critical,Yes,No,235,235,235,,,,,,,29,immunosuppresion=29,Culture,"Typical skin contaminants (e.g., coagulase-negative Staphylococcus [CoNS]) bacteremias were included only ifâ‰¥2 blood cultures showed the same phenotype on separate occasions within a 48-h period, orâ‰¥1 blood culture positive for clinical sepsis, no other infectious process, and antibacterial agent treatment initiated by the attending physician ",Yes,blood,blood,235,,35,,,,,Yes,No,No,,,35,35,,,35,35,35,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,1,,"Enterobacterales=5, Gram positive unknown=3, anaerobic =1",,9,186,Yes,No or unclear,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,moderate,7,No,-,-,-,,,,,,,,,,Secondary,Y,,N,N
"Cataldo MA, 2020",Journal of Global Antimicrobial Resistance ,03/01/2020,04/15/2020,Italy,HIC,Europe,Europe,Retrospective Cohort,Hospital ICU,57,Critically Ill,62,Mean/Average,16,Critical,Yes,No,,48,57,,,,,,,,,Culture,blood culture,No,blood,blood,57,,,23,,,,Yes,Yes,Yes,,,23,23,9,,21,30,30,"2 ESBL Enterobacterales (unspecified), 1 CRO Pseudo, 4 pip-tazo R Pseudomonas, 2 VRE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,,,,,2,,,,,,,10,10,,,,,5,4,1,,,3,3,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,Halfnia alvei=1,42,26,,No or unclear,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,Yes,Yes,moderate,7,Yes,Data not reported but this stated within text: No difference in mortality rate was observed among patients with and without BSI; the overall ICU mortality rate was 32% (18/57),No,No,,,,,,,,,,Secondary,Y,,Y,Y
"Catano-Correa, 2021",PLoS One,03/01/2020,08/31/2020,Colombia,LMIC,South America,South America,Cross-sectional Study,Hospital,399,,,not applicable,164,All combined,Yes,No,,106,115,,43,,95,,,17,immunosuppression=17,Culture,"When these three diagnostic criteria were met, a tracheal aspirate was performed to identify the etiological agent responsible for the possible superinfection. In the cultures, the isolation of a single or predominant bacterium was considered positive, with a count equal to or greater than 106 colony-forming units/mL. Once the microbiological isolation was identified, automated sensitivity tests were performed using the VITEK-21 system, following CLSI",Yes,resp,resp,399,,83,,,,,Yes,No,No,,,83,83,,,83,83,,,83,,,,,,,,,,,,,18,,18,,,,,,,2,,2,,,,,,1,,1,,,,,5,,4,,,,8,,8,,,,,,,,,24,,24,,,,,,,,,3,,3,,,,,,,,,3,,3,,,,,,,,9,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,6,,,,,,,2,,,,,,,,,,,,2,,,,"Hafnia alvei=1, Burkholderia cepacia=1",303,0,204,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,Yes,Yes,No or unclear,low,8,No,,,,,,,,,,,,,Unspecified,Y,,N,N
"Chaudhary W, 2020",The American journal of tropical medicine and hygiene,not specified,not specified,Brunei,HIC,Asia,Western Pacific,Retrospective Cohort,Hospital,141,Specifically looking at co-infection rates,,not reported,,All patients,Yes,No,,,,,,,,,,,,Culture,"routinely screen for bacterial coinfections (blood/sputum) on admission, gram stain",Yes,"resp, blood",multiple,141,5,,,,,,Yes,Yes,No,1,1,3,5,1,1,5,7,1,,6,1 MRSA,,,,,,,,,,,,2,1,1,,,,1,1,,1,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,Rothia mucilaginosa = 1,,,,No or unclear,Yes,No or unclear,No or unclear,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,high,3,No,-,-,-,,,,,,,,,,Co-infection,Y,,N,Y
"Chen S, 2021",Clin Respir J,01/11/2020,03/01/2020,China,LMIC,Asia,Western Pacific,Retrospective Cohort,Hospital,408,,48,Median,212,All combined,Yes,No,,,18,,,15,22,,7,,,Culture+NAAT+16s,"Microbiological culture was performed on sputum, BAL, urine, and blood at the clinical laboratory of our hospital. NAAT, 16S. Serological testing of atypical bacteria",Yes,"resp, blood, urine",multiple,408,12,10,,,,,Yes,Yes,No,2,3,17,22,2,3,55,60,8,,51,1 CRE Enterobacter (MRSA isolates unknown location),1,,,,,,,,,,,4,,1,,,3,1,1,,3,,,,,,,,3,3,,,,,,8,,,,,,7,,7,,,,,,,,,7,,7,,,,,,,,,2,,1,1,,,,,,,,7,,7,,,,,,,,4,,4,,,1,,1,,,,,,,,,,,,,,,,,,,,6,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,"Ralstonia mannitolilytica=3, Burkholderia multivorans=3, Sphingomonas paucimobilis=1, Bacteroides ovatus=1, Pediococcus lactis=1",,,60,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,low,8,No,-,-,-,,,,,,,,,,Both,Y,,N,Y
"Cheng L, 2020",Therapeutic Advances in Infectious Disease,01/08/2020,05/01/2020,Hong Kong,HIC,Asia,Western Pacific,Retrospective Cohort,Hospital,147,,36,Median,62,All combined,Yes,No,,,3,,,,,,,,,Culture + Urine Ag,": blood samples for bacterial culture, sputum for bacterial culture, urine antigen test for Legionella pneumophila and Streptococcus pneumoniae, and multiplex PCR assay (BioFireÂ® FilmArrayÂ® respiratory panel and Pneumonia Panel) for simultaneous detection of respiratory viral and bacterial pathogens, depending on the specimen type. Sputum was not processed for culture in samples in which the number of squamous epithelial cells were >10 cells per lowpower field unless the white blood cell (WBC) count was â©¾25 cells per low-power field",Yes,"resp, blood",multiple,147,4,8,,,,,Yes,Yes,No,,7,5,12,,8,5,13,,,13,,,,,,,,,,,,,8,,8,,,,0,0,,1,,1,,,,,,,,,,,,,3,,3,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,No or unclear,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,low,8,Yes,No mortality occurred in either study group,"Patients with co-infections showed a significantly longer length of hospitalization (27 vs 20 days, p=0.016)",No,,,,,,,,,,Both,Y,,N,Y
"Chong W, 2021",Am J Med Sci,03/08/2020,06/22/2020,United States,HIC,North America,North America,Retrospective Cohort,Hospital,244,,63,Median,96,All combined,Yes,No,,71,118,41,,47,96,,3,20,"""immunodeficiency""",Culture,Repiratory tract cultures were obtained from either the sputum and/or endotracheal aspirate of COVID-19 patients during their duration of hospitalization irrespective of inpatient setting,Yes,"resp, blood",multiple,244,8,13,,,,,Yes,Yes,No,,,,,2,4,17,23,3,2 MRSA,20,2 MRSA,,,,,,,,,,,,6,2,4,,,,2,2,,,,,,,,,,,,,,,,,3,,3,,,,3,1,2,,,,,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,1,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2 corynebacterium -resp,216,,205,Yes,No or unclear,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,low,8,No,,,,,,,,,,,,,Secondary,Y,,N,Y
"Cohen R, 2021",Infect Dis,03/01/2020,03/01/2021,Israel,HIC,Asia,Europe,Retrospective Cohort,Hospital,115,,58.5,Mean,31,Moderate/severe/critically ill,Yes,No,,43,,,,,,,,,,NAAT,"FilmArrayÂ® (FA) was performed within 72 h of hospital admission (i.e. early FA result) between June 2019 and March 2021. This panel includes 18 bacterial targets, 7 antimicrobial resistance genes and 9 viruses",Yes,resp,resp,198,70,,,,,,Yes,Yes,Yes,,,70,70,12,22,98,132,,,132,"12, 5 MRSA and 7 ESBL (CTX-M)",,,,,,,,,,,1,27,,27,,,,5,5,,12,,12,,,,,,,,,,,,,42,,42,,,,9,,9,,,,,,,,,6,,6,,,,,,,,,3,,3,,,,,,,,,2,,2,,,,,,,,12,,12,,,,,,,,,,,,,,,,,,,,8,,8,,,,,,,,,,2,,2,,,,,,,8,1,,1,,,,,,,,,,,,,,,,,No or unclear,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,low,8,Yes,"in hospital death 6/69 FA positive, 6/46 FA negative, NS difference","LOS 12.9 FA positive, 14.9 FA negative, NS difference",No,,,,,,,,,,Co-infection,Y,,Y,Y
"Cona A, 2021",Antibiotics,02/24/2020,11/30/2020,Italy,HIC,Europe,Europe,Retrospective Cohort,Hospital,1351,,68,Median,509,All combined,Yes,No,,178,101,,,403,267,,115,,,Culture,BSI was defined as bacterial growth from a single blood culture in association with clinical findings suggestive for bacterial infection,Yes,blood,blood,1351,18,51,,,,,Yes,Yes,Yes,,,69,69,8,32,40,80,80,8,,,,,,,,,,,,,,11,11,,,,,2,2,,1,1,,,,,,,13,13,,,,,1,,,,,,,6,6,,,,,,,,,,7,7,,,,,0,,,,,10,10,,,,,2,2,,,,1,1,,,,,,,,,6,6,,,,3,3,,,,12,12,,,,,,,,,,,,,,,,2,2,,,,,,5,,,,,,,,,,1,1,,,,,,,,,,3,2,,,"1 raoultella, 1 bacteroides frag, 1 campylobacter for GN, 1 listeria, 1 lactobacillus for GP",623,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,low,8,Yes,"OR 1.27 (95% CI 0.41 to 3.90) for CA, OR 1.29 (95%CI 0.65 to 2.54) for HA","LOS 9 without BSI, 12.5 with CA BSI, 27 with HA BSI","Yes (age, sex, comorbidity, CRP, D dimer, severity, calendar month, immunosupp)",1.27,0.41,3.9,1.29,0.65,2.54,,,,Both,Y,,Y,Y
"Contou D, 2020",Annals of Intensive Care,03/13/2020,04/16/2020,France,HIC,Europe,Europe,Retrospective Cohort,Hospital ICU,92,ICU patients,61,Median,19,Critical,Yes,No,,83,92,,6,9,35,,4,5,"n=1 liver transplant, n=3 long-term corticosteroid therapy, n=1 azathioprine",Culture + Urine Ag. Culture + Urine Ag + NAAT,"â€”blood culture, culture of the respiratory tract secretions, multiplex respiratory PCRs performed on a nasopharyngeal swab or on respiratory tract secretions, urinary antigen test (BinaxNOWÂ®-Abbott) for Legionella pneumophila and Streptococcus pneumoniaeâ€”performed within the frst 48 h of ICU admission were retrospectively reviewed",No,"resp, blood",multiple,92,18,8,,,,,Yes,Yes,No,,,26,26,5,10,17,32,1,,31,2 ESBL + 3 R amox-Clav (unknown if 5 R to amox-Clav overlap with ESBL),,,,,,,,,,,,10,1,9,,,,,,,6,,6,,,,,,,,,,,,,7,,7,,,,2,,2,,,,,,,,,2,,2,,,,,,,,,2,,2,,,,,,,,,1,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,92,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,No or unclear,Yes,No or unclear,moderate,6,No,-,-,-,,,,,,,,,,Both,Y,,N,Y
"Copaja-Corzo C, 2021",Antibiotics,03/28/2020,03/01/2021,Peru,LMIC,South America,South America,Retrospective Cohort,Hospital ICU,124,,54.5,Mean,22,Critical,Yes,No,124,124,124,,,,35,,1,17,Immunosuppression,Culture,"VAP, CR-BSI, CA-UTI",Yes,"resp, blood, urine",multiple,124,,50,,,,,Yes,No,No,37,1,12,50,37,1,12,50,10,unknown,37,unknown,3,unknown,,,,,,"26 CRAB, 11 CR Psa",,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,11,1,7,3,,,11,,11,,10,5,1,4,,,,,,,,,,,,,,,,,,,,27,2,25,0,,,26,26,,25,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,26,123,Yes,Yes,No or unclear,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,low,8,Yes,healthcare-associated infection was independently associated with hospital mortality (aHR = 2.733; 95% CI 1.33â€“5.60,No,"Yes (age, sex, comorbidity, oxygenation)",,,,2.733,1.33,5.6,,,,Both,Y,,N,N
"Cortes M, 2021",Diagn Microbiol Infect Dis,04/01/2020,06/30/2020,Brazil,LMIC,South America,South America,Propsective Cohort,Hospital ICU,73,ICU with suspected secondary infection,58,Median,35,Critical,Yes,No,,73,73,,,,26,,6,,,Culture,Endotracheal aspirate and blood cultures,Yes,"resp, blood",multiple,73,,,,,,,Yes,No,No,,,73,73,,,46,46,27,,19,,,,,,,,,,,,,10,5,5,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,7,1,6,,,,,,,,,6,2,4,,,,,,,,,,,,,,,,,,,,4,,4,,,,,,,,,,,,,,,,,,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,Yes,No or unclear,Yes,Yes,No,Yes,Yes,No or unclear,Yes,No or unclear,moderate,6,No,,,,,,,,,,,,,Secondary,Y,Y,N,N
"COVID-ICU Group, 2021",Intensive Care Med ,02/25/2020,05/04/2020,"France, Belgium, and Switzerland",HIC,Europe,Europe,Propsective Cohort,Hospital ICU,4244,,63,Median,1085,Critical,Yes,No,2233,3376,4244,176,,,1167,,,314,"hematological malignancies, active solid tumor, or having received specifc anti-tumor treatment within a year, solid-organ transplant, human immunodefciency virus, or immunosuppressants",Culture,"distal bronchoalveolar lavage cultures growingâ‰¥104 cfu/mL, blind protected specimen brush distal growingâ‰¥103 cfu/mL, or endotracheal aspirates growingâ‰¥106 cfu/mL",No,resp,resp,4244,208,,,,,,No,No,No,,,208,208,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1554,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,low,8,No,-,-,-,,,,,,,,,,Secondary,Y,,N,N
"D'Onofrio V, 2020",European Journal of Clinical Microbiology & Infectious Diseases,03/12/2020,04/12/2020,Belgium,HIC,Europe,Europe,Retrospective Cohort,Hospital,110,Suspected sepsis,73,Median,41,All combined,Yes,No,,,29,,19,28,27,,9,,,Culture + Urine Ag,"Microbiological diagnostics (pathogen identification and susceptibility) of blood cultures, of all other clinical cultures that were performed, and of virologic PCRs were collected. Data on co-infections within the first 24 h were extracted from ED discharge letters or clinical follow-up notes in the patientâ€™s electronic medical file, and pathogens were collected from microbiology reports. For all suspected pneumonia patients with chest X-ray abnormalities, urinary antigen tests for Streptococcus pneumoniae and Legionella pneumophila were performed",Yes,"resp, blood, urine, IAI",multiple,110,3,,,,,,Yes,No,No,,,3,3,,,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,Corynebacterium aurimucosum=1,,,93,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,low,9,Yes,"Univariate analysis shows in-hospital mortality in patients with bacterial co-infection was non-significant compared to those without bacterial co-infection (7.1 vs 20.1%, p=0.235)","Univariate analysis shows LOS in patients with bacterial co-infection was non-significant compared to those without bacterial co-infection (8.5 vs 7 days, p=0.637)",No,,,,,,,,,,Co-infection,Y,,N,N
